pays,zone,vendeur,site_web,type_vendeur,categories_observees,notes
Canada,Quebec,Happy Yak,https://happyyak.ca/,Marque/manufacturier DTC,Repas lyophilises; kits urgence; smoothies; ingredients,"Fabrique a Cowansville; expedie au Canada; produit phare pour plein air et urgence"
Canada,Quebec,Lyoca,https://www.lyoca.com/fr,Marque DTC,Melanges de legumes lyophilises; repas veganes,"Basee au Quebec; positionnement repas/legumes pratiques et veganes"
Canada,Quebec,Collations Frosty Snack,https://frostysnack.com/en,Boutique DTC,Bonbons lyophilises; fruits; bonbons cristaux,"Site bilingue; mise en avant 'Made in Quebec'"
Canada,Quebec,Wellioo,https://wellioo.ca/en,Marque DTC,Fruits lyophilises,"Positionnement collation sante 100% fruit; localisation precise a verifier"
Canada,Quebec,Sublima,https://sublima.co/,Marque/manufacturier DTC + service B2B,Fruits lyophilises; epices; service de lyophilisation; marque blanche,"Fait au Quebec; fruits en formats petit/grand; service pour agroalimentaire, supplements, cosmetiques et R&D"
Canada,Quebec,Lyo & Co,https://lyoetco.ca/,Marque/manufacturier DTC,Fruits lyophilises; legumes lyophilises; bonbons lyophilises; snack packs,"Entreprise familiale quebecoise basee a Montreal/Pointe-aux-Trembles; produits Aliments du Quebec; vend en ligne et en detail"
Canada,Quebec,Wise By Nature,https://wisebynature.com/,Marque DTC + retail,Mixes a smoothie lyophilises; fruits lyophilises; poudres/proteines; chia pudding,"Entreprise de Longueuil; produits en ligne et en epiceries; positionnement smoothie sans refrigeration"
Canada,Canada,Backpacker's Pantry Canada,https://www.backpackerspantry.ca/,Boutique officielle/distribution,Repas de plein air lyophilises et deshydrates,"Version canadienne du catalogue Backpacker's Pantry"
Canada,Alberta,Flat Out Feasts,https://flatoutfeasts.ca/,Marque DTC,Repas lyophilises keto/low-carb; packs,"Fabrique a Edmonton; prix premium; haute proteine"
Canada,Ontario,Cut N' Dry,https://www.cutndry.ca/,Marque/pre-lancement,Repas; proteines; legumes lyophilises,"Site annonce lancement/prochaine disponibilite; utile comme entrant a surveiller"
Canada,Ontario,70 Below Treats,https://store.70below.ca/,Boutique DTC,Fruits; desserts; bonbons; treats animaux,"Boutique a Acton, Ontario; vend en ligne"
